course_id,integration_id,short_name,long_name,account_id,term_id,status,start_date,end_date,course_format,blueprint_course_id
MRAD.801.202615.31D,,MRAD 801 31D:,26 SPRING MRAD 801 31D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.31E,,MRAD 801 31E:,26 SPRING MRAD 801 31E: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.31F,,MRAD 801 31F:,26 SPRING MRAD 801 31F: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.31L,,MRAD 801 31L:,26 SPRING MRAD 801 31L: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
SURG.875.202615.34R,,SURG 875 34R:,26 SPRING SURG 875 34R: TRAUMA SURGERY,CS.CLMD,202615,active,2026-04-06T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.31R,,MRAD 801 31R:,26 SPRING MRAD 801 31R: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.36T,,MRAD 801 36T:,26 SPRING MRAD 801 36T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-06-01T00:00:00-05:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.31T,,MRAD 801 31T:,26 SPRING MRAD 801 31T: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-01-05T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32B,,MRAD 801 32B:,26 SPRING MRAD 801 32B: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
MRAD.801.202615.32D,,MRAD 801 32D:,26 SPRING MRAD 801 32D: DIAGNOSTIC RADIOLOGY,CS.CLMD,202615,active,2026-02-02T00:00:00-06:00,2026-07-31T12:00:00-05:00,,
