section_id,course_id,integration_id,name,status,start_date,end_date
12201.20262,MRAD.801.202615.31D,,MRAD-801-31D,active,,
12200.20262,MRAD.801.202615.31E,,MRAD-801-31E,active,,
12199.20262,MRAD.801.202615.31F,,MRAD-801-31F,active,,
12196.20262,MRAD.801.202615.31L,,MRAD-801-31L,active,,
10731.20262,SURG.875.202615.34R,,SURG-875-34R,active,,
12195.20262,MRAD.801.202615.31R,,MRAD-801-31R,active,,
12154.20262,MRAD.801.202615.36T,,MRAD-801-36T,active,,
12194.20262,MRAD.801.202615.31T,,MRAD-801-31T,active,,
12193.20262,MRAD.801.202615.32B,,MRAD-801-32B,active,,
12192.20262,MRAD.801.202615.32D,,MRAD-801-32D,active,,
12167.20262,MRAD.801.202615.35E,,MRAD-801-35E,active,,
12191.20262,MRAD.801.202615.32E,,MRAD-801-32E,active,,
12189.20262,MRAD.801.202615.32H,,MRAD-801-32H,active,,
12188.20262,MRAD.801.202615.32L,,MRAD-801-32L,active,,
12186.20262,MRAD.801.202615.32T,,MRAD-801-32T,active,,
12185.20262,MRAD.801.202615.33B,,MRAD-801-33B,active,,
12184.20262,MRAD.801.202615.33D,,MRAD-801-33D,active,,
12183.20262,MRAD.801.202615.33E,,MRAD-801-33E,active,,
12182.20262,MRAD.801.202615.33F,,MRAD-801-33F,active,,
12181.20262,MRAD.801.202615.33H,,MRAD-801-33H,active,,
12180.20262,MRAD.801.202615.33L,,MRAD-801-33L,active,,
12179.20262,MRAD.801.202615.33R,,MRAD-801-33R,active,,
12406.20262,IMED.891.202615.37D,,IMED-891-37D,active,,
12177.20262,MRAD.801.202615.34B,,MRAD-801-34B,active,,
12176.20262,MRAD.801.202615.34D,,MRAD-801-34D,active,,
12175.20262,MRAD.801.202615.34E,,MRAD-801-34E,active,,
12174.20262,MRAD.801.202615.34F,,MRAD-801-34F,active,,
12173.20262,MRAD.801.202615.34H,,MRAD-801-34H,active,,
12172.20262,MRAD.801.202615.34L,,MRAD-801-34L,active,,
12112.20262,MRAD.809.202615.35T,,MRAD-809-35T,active,,
12171.20262,MRAD.801.202615.34R,,MRAD-801-34R,active,,
12169.20262,MRAD.801.202615.35B,,MRAD-801-35B,active,,
12168.20262,MRAD.801.202615.35D,,MRAD-801-35D,active,,
12166.20262,MRAD.801.202615.35F,,MRAD-801-35F,active,,
12165.20262,MRAD.801.202615.35H,,MRAD-801-35H,active,,
12164.20262,MRAD.801.202615.35L,,MRAD-801-35L,active,,
12163.20262,MRAD.801.202615.35R,,MRAD-801-35R,active,,
12162.20262,MRAD.801.202615.35T,,MRAD-801-35T,active,,
12150.20262,MRAD.801.202615.37F,,MRAD-801-37F,active,,
12158.20262,MRAD.801.202615.36F,,MRAD-801-36F,active,,
12157.20262,MRAD.801.202615.36H,,MRAD-801-36H,active,,
12156.20262,MRAD.801.202615.36L,,MRAD-801-36L,active,,
12155.20262,MRAD.801.202615.36R,,MRAD-801-36R,active,,
12153.20262,MRAD.801.202615.37B,,MRAD-801-37B,active,,
12152.20262,MRAD.801.202615.37D,,MRAD-801-37D,active,,
12149.20262,MRAD.801.202615.37H,,MRAD-801-37H,active,,
12148.20262,MRAD.801.202615.37L,,MRAD-801-37L,active,,
12147.20262,MRAD.801.202615.37R,,MRAD-801-37R,active,,
12146.20262,MRAD.801.202615.37T,,MRAD-801-37T,active,,
12140.20262,MRAD.802.202615.33T,,MRAD-802-33T,active,,
10117.20262,MRAD.802.202615.30B,,MRAD-802-30B,active,,
12145.20262,MRAD.802.202615.31E,,MRAD-802-31E,active,,
12144.20262,MRAD.802.202615.31T,,MRAD-802-31T,active,,
12143.20262,MRAD.802.202615.32E,,MRAD-802-32E,active,,
12142.20262,MRAD.802.202615.32T,,MRAD-802-32T,active,,
12141.20262,MRAD.802.202615.33E,,MRAD-802-33E,active,,
12139.20262,MRAD.802.202615.34E,,MRAD-802-34E,active,,
12111.20262,MRAD.809.202615.36T,,MRAD-809-36T,active,,
12138.20262,MRAD.802.202615.34T,,MRAD-802-34T,active,,
12137.20262,MRAD.802.202615.35E,,MRAD-802-35E,active,,
12136.20262,MRAD.802.202615.35T,,MRAD-802-35T,active,,
12135.20262,MRAD.802.202615.36E,,MRAD-802-36E,active,,
12134.20262,MRAD.802.202615.36T,,MRAD-802-36T,active,,
12133.20262,MRAD.802.202615.37E,,MRAD-802-37E,active,,
12127.20262,MRAD.806.202615.34T,,MRAD-806-34T,active,,
12125.20262,MRAD.806.202615.36T,,MRAD-806-36T,active,,
12124.20262,MRAD.806.202615.37T,,MRAD-806-37T,active,,
12402.20262,IMED.891.202615.35T,,IMED-891-35T,active,,
12122.20262,MRAD.807.202615.32T,,MRAD-807-32T,active,,
12119.20262,MRAD.807.202615.35T,,MRAD-807-35T,active,,
10588.20262,MFCM.800.202615.CC1,,MFCM-800-30E,active,,
10017.20262,MFCM.800.202615.CC1,,MFCM-800-31H,active,,
10016.20262,MFCM.800.202615.CC1,,MFCM-800-31D,active,,
10019.20262,MFCM.800.202615.CC1,,MFCM-800-31T,active,,
10463.20262,MFCM.800.202615.CC1,,MFCM-800-30R,active,,
13483.20262,SURG.836.202615.34D,,SURG-836-34D,active,,
12115.20262,MRAD.809.202615.32T,,MRAD-809-32T,active,,
12109.20262,MRAD.810.202615.31T,,MRAD-810-31T,active,,
12107.20262,MRAD.810.202615.33T,,MRAD-810-33T,active,,
13509.20262,NEXT.800.202615.35D,,NEXT-800-35D,active,,
12841.20262,MFCM.831.202615.36B,,MFCM-831-36B,active,,
12838.20262,MFCM.985.202615.320,,MFCM-985-320,active,,
10460.20262,MEID.685.202615.30H,,MEID-685-30H,active,,
10413.20262,MRAD.816.202615.30T,,MRAD-816-30T,active,,
12836.20262,MFCM.985.202615.340,,MFCM-985-340,active,,
12095.20262,MRAD.816.202615.31D,,MRAD-816-31D,active,,
12161.20262,MRAD.801.202615.36B,,MRAD-801-36B,active,,
12092.20262,MRAD.816.202615.32E,,MRAD-816-32E,active,,
12091.20262,MRAD.816.202615.33D,,MRAD-816-33D,active,,
12088.20262,MRAD.816.202615.34E,,MRAD-816-34E,active,,
10772.20262,ANES.805.202615.34T,,ANES-805-34T,active,,
12086.20262,MRAD.816.202615.35E,,MRAD-816-35E,active,,
12084.20262,MRAD.816.202615.36E,,MRAD-816-36E,active,,
12083.20262,MRAD.816.202615.37D,,MRAD-816-37D,active,,
12428.20262,MPED.815.202615.37T,,MPED-815-37T,active,,
10781.20262,SURG.865.202615.32E,,SURG-865-32E,active,,
12081.20262,MRAD.819.202615.31T,,MRAD-819-31T,active,,
12077.20262,MRAD.819.202615.35T,,MRAD-819-35T,active,,
12075.20262,MRAD.819.202615.37T,,MRAD-819-37T,active,,
13463.20262,MRAD.820.202615.32B,,MRAD-820-32B,active,,
13466.20262,MRAD.820.202615.35B,,MRAD-820-35B,active,,
12071.20262,MRAD.985.202615.340,,MRAD-985-340,active,,
12074.20262,MRAD.985.202615.310,,MRAD-985-310,active,,
12073.20262,MRAD.985.202615.320,,MRAD-985-320,active,,
12069.20262,MRAD.985.202615.360,,MRAD-985-360,active,,
12068.20262,MRAD.985.202615.370,,MRAD-985-370,active,,
12864.20262,MFCM.814.202615.37B,,MFCM-814-37B,active,,
12066.20262,MRAD.999.202615.320,,MRAD-999-320,active,,
12065.20262,MRAD.999.202615.330,,MRAD-999-330,active,,
12063.20262,MRAD.999.202615.350,,MRAD-999-350,active,,
12061.20262,MRAD.999.202615.370,,MRAD-999-370,active,,
12865.20262,MEID.814.202615.31R,,MEID-814-31R,active,,
10803.20262,ANES.985.202615.330,,ANES-985-330,active,,
12888.20262,MHUM.804.202615.320,,MHUM-804-320,active,,
10531.20262,MEID.989.202615.31B,,MEID-989-31B,active,,
13382.20262,MEID.850.202615.30B,,MEID-850-30B,active,,
11489.20262,IMED.810.202615.33H,,IMED-810-33H,active,,
10810.20262,SURG.864.202615.33E,,SURG-864-33E,active,,
10816.20262,ANES.999.202615.340,,ANES-999-340,active,,
12170.20262,MRAD.801.202615.34T,,MRAD-801-34T,active,,
11953.20262,SURG.801.202615.31E,,SURG-801-31E,active,,
13480.20262,SURG.836.202615.31D,,SURG-836-31D,active,,
11938.20262,SURG.801.202615.33R,,SURG-801-33R,active,,
12923.20262,MFCM.810.202615.350,,MFCM-810-350,active,,
11951.20262,SURG.801.202615.31R,,SURG-801-31R,active,,
11950.20262,SURG.801.202615.31T,,SURG-801-31T,active,,
11949.20262,SURG.801.202615.32B,,SURG-801-32B,active,,
10097.20262,SURG.800.202615.30B,,SURG-800-30B,active,,
11948.20262,SURG.801.202615.32D,,SURG-801-32D,active,,
10629.20262,SURG.800.202615.31B,,SURG-800-31B,active,,
