crs-ref,PIQ-COURSE-UID,MDCO-COURSE-UID,MDCO-COURSECAT-UIDxSITE,MDCO-CAMPUSUID
1300,MEID-989.WELL-H,MDCO-MEID103.245,MDCO-MEID103.245-vcom.ahem.campus ,vcom.ahem.campus
1277,MEID-989.WELL-BCS,MDCO-MEID103.245,MDCO-MEID103.245-vcom.abry.campus,vcom.abry.campus
1107,MEID-989.WELL-RR,MDCO-MEID103.245,MDCO-MEID103.245-vcom.ardr.campus ,vcom.ardr.campus
1099,MEID-3,MDCO-MEID103.245,MDCO-MEID103.245-vcom.inab.campus ,vcom.inab.campus
1373,SURG-802.DAMC,MDCO-SURG802.206,N/A,N/A
1374,SURG-817.R,MDCO-SURG817.247,N/A,N/A
1372,SURG-815.B,MDCO-SURG815.383,MDCO-SURG815.383-vcom.abry.campus,vcom.abry.campus
1368,SURG-815.H,MDCO-SURG815.383,N/A,N/A
1371,SURG-857.R,MDCO-SURG857.201,MDCO-SURG857.201-vcom.ardr.campus,vcom.ardr.campus
1370,SURG-805.B,MDCO-SURG805.320,MDCO-SURG805.320-vcom.abry.campus,vcom.abry.campus
1369,SURG-814.D,MDCO-SURG814.124,N/A,N/A
1367,SURG-875.D,MDCO-SURG875.386,MDCO-SURG875.386-vcom.adll.campus,vcom.adll.campus
1366,SURG-865.H,MDCO-SURG865.183,N/A,N/A
1364,SURG-886.AIH,MDCO-SURG886.207,MDCO-SURG886.207-vcom.ahem.campus,vcom.ahem.campus
1363,SURG-836.D,MDCO-SURG836.338,MDCO-SURG836.338-vcom.adll.campus,vcom.adll.campus
1365,SURG-875.R,MDCO-SURG875.386,MDCO-SURG875.386-vcom.ardr.campus,vcom.ardr.campus
1362,SURG-801.B,MDCO-SURG801.218,MDCO-SURG801.218-vcom.abry.campus,vcom.abry.campus
1358,OBGY-914.W,MDCO-OBGY914.243,MDCO-OBGY914.243-vcom.ahwh.campus,vcom.ahwh.campus
1357,SURG-800.H,MDCO-SURG800.237,MDCO-SURG800.237-vcom.ahem.campus,vcom.ahem.campus
1359,OBGY-802.B,MDCO-OBGY802.107,MDCO-OBGY802.107-vcom.abry.campus,vcom.abry.campus
1361,SURG-810.D,MDCO-SURG810.109,N/A,N/A
1352,SURG-802.BBSW,MDCO-SURG802.206,MDCO-SURG802.206-vcom.abry.bbsw,vcom.abry.bbsw
1360,SURG-805.H,MDCO-SURG805.320,MDCO-SURG805.320-vcom.ahem.campus,vcom.ahem.campus
1356,SURG-806.R,MDCO-SURG806.203,MDCO-SURG806.203-vcom.ardr.campus,vcom.ardr.campus
1353,SURG-818.CCR,MDCO-SURG818.238,MDCO-SURG818.238-vcom.ardr.campus,vcom.ardr.campus
1354,SURG-832.R,MDCO-SURG832.261,MDCO-SURG832.261-vcom.ardr.campus,vcom.ardr.campus
